LIST_LEN,N_DIGITS,D_MODEL,N_HEAD,N_LAYERS,USE_LN,USE_BIAS,FREEZE_WV,FREEZE_WO,WEIGHT_DECAY,run_idx,val_acc,steps_trained,train_time_sec,params_total,params_trainable,val_examples,batch_size,device
1,100,128,1,1,False,False,True,True,0.01,0,0.0103759765625,50000,45.70437979698181,92646,59264,8192,1024,cuda
1,100,128,1,1,False,False,True,True,0.01,1,0.0101318359375,50000,46.21519470214844,92646,59264,8192,1024,cuda
1,100,128,1,1,False,False,True,True,0.01,2,0.01025390625,50000,45.552515745162964,92646,59264,8192,1024,cuda
1,100,128,1,2,False,False,True,True,0.01,0,1.0,2500,3.333418607711792,158694,92032,8192,1024,cuda
1,100,128,1,2,False,False,True,True,0.01,1,1.0,2500,3.470581293106079,158694,92032,8192,1024,cuda
1,100,128,1,2,False,False,True,True,0.01,2,1.0,2500,3.4524967670440674,158694,92032,8192,1024,cuda
1,100,128,1,3,False,False,True,True,0.01,0,1.0,2500,4.427950143814087,224742,124800,8192,1024,cuda
1,100,128,1,3,False,False,True,True,0.01,1,1.0,2500,4.462568759918213,224742,124800,8192,1024,cuda
1,100,128,1,3,False,False,True,True,0.01,2,1.0,2500,4.467133045196533,224742,124800,8192,1024,cuda
1,100,128,1,4,False,False,True,True,0.01,0,1.0,2500,5.481353521347046,290790,157568,8192,1024,cuda
1,100,128,1,4,False,False,True,True,0.01,1,1.0,2500,5.462074279785156,290790,157568,8192,1024,cuda
1,100,128,1,4,False,False,True,True,0.01,2,1.0,2500,5.359983682632446,290790,157568,8192,1024,cuda
1,100,128,1,5,False,False,True,True,0.01,0,1.0,2500,6.280551910400391,356838,190336,8192,1024,cuda
1,100,128,1,5,False,False,True,True,0.01,1,1.0,2500,6.386632204055786,356838,190336,8192,1024,cuda
1,100,128,1,5,False,False,True,True,0.01,2,1.0,2500,6.297224283218384,356838,190336,8192,1024,cuda
1,100,128,1,6,False,False,True,True,0.01,0,1.0,2500,7.215012788772583,422886,223104,8192,1024,cuda
1,100,128,1,6,False,False,True,True,0.01,1,1.0,2500,7.534071683883667,422886,223104,8192,1024,cuda
1,100,128,1,6,False,False,True,True,0.01,2,1.0,2500,7.538616180419922,422886,223104,8192,1024,cuda
1,100,128,1,7,False,False,True,True,0.01,0,1.0,2500,8.409071445465088,488934,255872,8192,1024,cuda
1,100,128,1,7,False,False,True,True,0.01,1,1.0,2500,8.412789821624756,488934,255872,8192,1024,cuda
1,100,128,1,7,False,False,True,True,0.01,2,1.0,2500,8.435409784317017,488934,255872,8192,1024,cuda
1,100,128,1,8,False,False,True,True,0.01,0,1.0,2500,9.29948616027832,554982,288640,8192,1024,cuda
1,100,128,1,8,False,False,True,True,0.01,1,1.0,2500,9.341163158416748,554982,288640,8192,1024,cuda
1,100,128,1,8,False,False,True,True,0.01,2,1.0,2500,9.344337701797485,554982,288640,8192,1024,cuda
1,100,128,1,9,False,False,True,True,0.01,0,1.0,2500,10.249794006347656,621030,321408,8192,1024,cuda
1,100,128,1,9,False,False,True,True,0.01,1,1.0,2500,10.292384624481201,621030,321408,8192,1024,cuda
1,100,128,1,9,False,False,True,True,0.01,2,1.0,2500,10.299768686294556,621030,321408,8192,1024,cuda
1,100,128,1,10,False,False,True,True,0.01,0,1.0,2500,11.151945352554321,687078,354176,8192,1024,cuda
1,100,128,1,10,False,False,True,True,0.01,1,1.0,2500,11.18582820892334,687078,354176,8192,1024,cuda
1,100,128,1,10,False,False,True,True,0.01,2,1.0,2500,11.140752077102661,687078,354176,8192,1024,cuda
1,100,128,1,11,False,False,True,True,0.01,0,1.0,2500,12.080737590789795,753126,386944,8192,1024,cuda
1,100,128,1,11,False,False,True,True,0.01,1,1.0,2500,11.817647933959961,753126,386944,8192,1024,cuda
1,100,128,1,11,False,False,True,True,0.01,2,1.0,2500,11.916898727416992,753126,386944,8192,1024,cuda
1,100,128,1,12,False,False,True,True,0.01,0,1.0,2500,12.965920448303223,819174,419712,8192,1024,cuda
1,100,128,1,12,False,False,True,True,0.01,1,1.0,2500,12.745659589767456,819174,419712,8192,1024,cuda
1,100,128,1,12,False,False,True,True,0.01,2,1.0,2500,12.680378913879395,819174,419712,8192,1024,cuda
1,100,128,1,13,False,False,True,True,0.01,0,1.0,2500,13.60796046257019,885222,452480,8192,1024,cuda
1,100,128,1,13,False,False,True,True,0.01,1,1.0,2500,13.613507270812988,885222,452480,8192,1024,cuda
1,100,128,1,13,False,False,True,True,0.01,2,1.0,2500,13.593201637268066,885222,452480,8192,1024,cuda
1,100,128,1,14,False,False,True,True,0.01,0,1.0,2500,14.84420132637024,951270,485248,8192,1024,cuda
1,100,128,1,14,False,False,True,True,0.01,1,1.0,2500,14.851567268371582,951270,485248,8192,1024,cuda
