d_model,n_heads,n_layers,ln,bias,freeze_wv,freeze_wo,val_acc
64,1,2,False,False,False,False,0.6207
64,1,2,False,True,False,False,0.4983
64,1,2,True,False,False,False,0.7709
64,1,2,True,True,False,False,0.7744
64,1,2,False,False,False,True,0.7513
64,1,2,False,True,False,True,0.7552
64,1,2,True,False,False,True,0.9089
64,1,2,True,True,False,True,0.9202
64,1,2,False,False,True,False,0.7481
64,1,2,False,True,True,False,0.756
64,1,2,True,False,True,False,0.9162
64,1,2,True,True,True,False,0.7636
64,1,2,False,False,True,True,0.5995
64,1,2,False,True,True,True,0.7487
64,1,2,True,False,True,True,0.9215
64,1,2,True,True,True,True,0.8935
